Avg_StartTime, Avg_StopTime, Avg_Asphericity_All, Avg_Asphericity_Excited, Avg_Asphericity_Fluorescent, Avg_Asphericity_FL1, Avg_Asphericity_FL2, Avg_Asphericity_FL3, Avg_Asphericity_A, Avg_Asphericity_B, Avg_Asphericity_C, Avg_Asphericity_AB, Avg_Asphericity_AC, Avg_Asphericity_BC, Avg_Asphericity_ABC, Avg_Size_um_All, Avg_Size_um_Excited, Avg_Size_um_Fluorescent, Avg_Size_um_FL1, Avg_Size_um_FL2, Avg_Size_um_FL3, Avg_Size_um_A, Avg_Size_um_B, Avg_Size_um_C, Avg_Size_um_AB, Avg_Size_um_AC, Avg_Size_um_BC, Avg_Size_um_ABC, Avg_Conc_cm3_All, Avg_Conc_cm3_Excited, Avg_Conc_cm3_Fluorescent, Avg_Conc_cm3_FL1, Avg_Conc_cm3_FL2, Avg_Conc_cm3_FL3, Avg_Conc_cm3_A, Avg_Conc_cm3_B, Avg_Conc_cm3_C, Avg_Conc_cm3_AB, Avg_Conc_cm3_AC, Avg_Conc_cm3_BC, Avg_Conc_cm3_ABC, Avg_SurArea_um2_cm3_All, Avg_SurArea_um2_cm3_Excited, Avg_SurArea_um2_cm3_Fluorescent, Avg_SurArea_um2_cm3_FL1, Avg_SurArea_um2_cm3_FL2, Avg_SurArea_um2_cm3_FL3, Avg_SurArea_um2_cm3_A, Avg_SurArea_um2_cm3_B, Avg_SurArea_um2_cm3_C, Avg_SurArea_um2_cm3_AB, Avg_SurArea_um2_cm3_AC, Avg_SurArea_um2_cm3_BC, Avg_SurArea_um2_cm3_ABC, Avg_Mass_ug_m3_All, Avg_Mass_ug_m3_Excited, Avg_Mass_ug_m3_Fluorescent, Avg_Mass_ug_m3_FL1, Avg_Mass_ug_m3_FL2, Avg_Mass_ug_m3_FL3, Avg_Mass_ug_m3_A, Avg_Mass_ug_m3_B, Avg_Mass_ug_m3_C, Avg_Mass_ug_m3_AB, Avg_Mass_ug_m3_AC, Avg_Mass_ug_m3_BC, Avg_Mass_ug_m3_ABC, Avg_FluorFraction_All, Avg_FluorFraction_Excited, Avg_FluorFraction_Fluorescent, Avg_FluorFraction_FL1, Avg_FluorFraction_FL2, Avg_FluorFraction_FL3, Avg_FluorFraction_A, Avg_FluorFraction_B, Avg_FluorFraction_C, Avg_FluorFraction_AB, Avg_FluorFraction_AC, Avg_FluorFraction_BC, Avg_FluorFraction_ABC, Avg_FluorPeak_FL1, Avg_FluorPeak_FL2, Avg_FluorPeak_FL3, Avg_FluorPeak_A, Avg_FluorPeak_B, Avg_FluorPeak_C
2025-03-11 09:00:00, 11/03/2025 09:59:59.999999, 3.255e+01, 3.117e+01, 3.117e+01, 3.117e+01, 3.117e+01, 3.331e+01, , , , 1.409e+01, , , 3.331e+01,0.5832,0.6008,0.6008,0.6008,0.6008,0.6002, , , , 6.056e-01, , ,0.6002, 6.007e-04, 4.915e-04, 6.007e-04, 6.007e-04, 6.007e-04, 5.339e-04, , , , 6.674e-05, , , 5.339e-04, 6.864e-04, 5.994e-04, 6.864e-04, 6.864e-04, 6.864e-04, 6.144e-04, , , , 7.205e-05, , , 6.144e-04, 7.833e-05, 7.101e-05, 7.833e-05, 7.833e-05, 7.833e-05, 7.133e-05, , , , 7.004e-06, , , 7.133e-05, , , 1.000e+00, 1.000e+00, 1.000e+00, 8.889e-01, , , , 1.111e-01, , , 8.889e-01,8029000.0,950000.0,695900.0, , , 
2025-03-11 10:00:00, 11/03/2025 10:59:59.999999, , , , , , , , , , , , , ,0.9088,0.9088,0.9088,0.9088,1.289,1.289, 5.287e-01, , , , , ,1.289, 1.115e-04, 1.115e-04, 1.115e-04, 1.115e-04, 5.574e-05, 5.574e-05, 5.574e-05, , , , , , 5.574e-05, 3.399e-04, 3.399e-04, 3.399e-04, 3.399e-04, 2.910e-04, 2.910e-04, 4.894e-05, , , , , , 2.910e-04, 6.682e-05, 6.682e-05, 6.682e-05, 6.682e-05, 6.251e-05, 6.251e-05, 4.312e-06, , , , , , 6.251e-05, , , 1.000e+00, 1.000e+00, 5.000e-01, 5.000e-01, 5.000e-01, , , , , , 5.000e-01,2512000.0,941800.0,701100.0, 1.151e+06, , 
2025-03-11 11:00:00, 11/03/2025 11:59:59.999999, 3.595e+01, 3.595e+01, 3.595e+01, 3.595e+01, 3.595e+01, 3.595e+01, , , , , , , 3.595e+01,0.7954,0.7954,0.7954,0.7954,0.7954,0.7954, , , , , , ,0.7954, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4880000.0,648800.0,711600.0, , , 
2025-03-11 12:00:00, 11/03/2025 12:59:59.999999, 1.317e+01, 1.108e+01, 1.108e+01, 1.104e+01, 1.139e+01, 1.233e+01, 9.010e+00, 9.811e+00, 1.097e+01, 9.155e+00, 9.168e+00, 1.405e+01, 1.271e+01,0.8744,0.8889,0.8887,0.8902,0.8874,0.8682, 8.995e-01, 8.974e-01, 8.668e-01, 9.258e-01, 8.960e-01, 8.109e-01,0.8664, 5.577e+01, 3.778e+00, 5.539e+01, 5.359e+01, 4.801e+01, 3.384e+01, 3.303e+00, 6.135e-01, 1.448e-01, 1.763e+01, 3.939e+00, 1.046e+00, 2.871e+01, 1.748e+02, 1.206e+01, 1.735e+02, 1.685e+02, 1.504e+02, 1.019e+02, 1.026e+01, 1.919e+00, 4.335e-01, 5.942e+01, 1.238e+01, 2.630e+00, 8.647e+01, 4.562e+01, 3.105e+00, 4.525e+01, 4.406e+01, 3.939e+01, 2.652e+01, 2.527e+00, 4.801e-01, 1.215e-01, 1.572e+01, 3.207e+00, 5.873e-01, 2.260e+01, , , 9.932e-01, 9.608e-01, 8.607e-01, 6.068e-01, 5.921e-02, 1.100e-02, 2.597e-03, 3.161e-01, 7.062e-02, 1.875e-02, 5.148e-01,1813000.0,623400.0,509500.0, 1.762e+06, 5.682e+05, 4.343e+05
2025-03-11 13:00:00, 11/03/2025 13:59:59.999999, 1.486e+01, 1.258e+01, 1.245e+01, 1.239e+01, 1.274e+01, 1.395e+01, 1.051e+01, 1.090e+01, 1.036e+01, 1.030e+01, 1.025e+01, 1.574e+01, 1.433e+01,0.8713,0.8873,0.8912,0.8933,0.8922,0.8703, 8.823e-01, 8.862e-01, 8.576e-01, 9.291e-01, 8.879e-01, 8.252e-01,0.8707, 2.853e+02, 2.252e+01, 1.038e+02, 9.881e+01, 9.116e+01, 6.071e+01, 6.050e+00, 1.823e+00, 3.886e-01, 3.517e+01, 6.157e+00, 2.729e+00, 5.144e+01, 8.965e+02, 7.241e+01, 3.290e+02, 3.148e+02, 2.909e+02, 1.849e+02, 1.812e+01, 5.568e+00, 1.142e+00, 1.204e+02, 1.880e+01, 7.503e+00, 1.574e+02, 2.381e+02, 1.905e+01, 8.765e+01, 8.398e+01, 7.814e+01, 4.903e+01, 4.477e+00, 1.410e+00, 3.020e-01, 3.273e+01, 4.729e+00, 1.957e+00, 4.204e+01, , , 3.636e-01, 3.463e-01, 3.195e-01, 2.128e-01, 2.120e-02, 6.390e-03, 1.362e-03, 1.233e-01, 2.158e-02, 9.564e-03, 1.803e-01,1745000.0,629400.0,510000.0, 1.691e+06, 5.659e+05, 4.346e+05
2025-03-11 14:00:00, 11/03/2025 14:59:59.999999, 1.655e+01, 1.374e+01, 1.376e+01, 1.368e+01, 1.413e+01, 1.584e+01, 1.123e+01, 1.171e+01, 1.227e+01, 1.112e+01, 1.116e+01, 1.809e+01, 1.632e+01,0.8306,0.8477,0.8471,0.8491,0.8469,0.8223, 8.500e-01, 8.490e-01, 8.376e-01, 8.856e-01, 8.486e-01, 7.822e-01,0.8214, 2.401e+02, 2.210e+01, 1.641e+02, 1.553e+02, 1.434e+02, 9.172e+01, 1.069e+01, 3.465e+00, 5.970e-01, 5.821e+01, 9.442e+00, 4.753e+00, 7.693e+01, 6.726e+02, 6.369e+01, 4.590e+02, 4.367e+02, 4.025e+02, 2.434e+02, 2.927e+01, 9.453e+00, 1.567e+00, 1.768e+02, 2.567e+01, 1.120e+01, 2.050e+02, 1.671e+02, 1.569e+01, 1.138e+02, 1.087e+02, 1.006e+02, 5.989e+01, 6.897e+00, 2.212e+00, 3.516e-01, 4.484e+01, 5.965e+00, 2.545e+00, 5.103e+01, , , 6.835e-01, 6.468e-01, 5.971e-01, 3.820e-01, 4.454e-02, 1.443e-02, 2.487e-03, 2.425e-01, 3.933e-02, 1.980e-02, 3.204e-01,1719000.0,630400.0,514900.0, 1.676e+06, 5.623e+05, 4.278e+05
2025-03-11 15:00:00, 11/03/2025 15:59:59.999999, 1.553e+01, 1.298e+01, 1.299e+01, 1.293e+01, 1.332e+01, 1.500e+01, 1.086e+01, 1.115e+01, 1.122e+01, 1.056e+01, 1.072e+01, 1.681e+01, 1.547e+01,0.8546,0.8706,0.8707,0.8727,0.8707,0.8436, 8.672e-01, 8.765e-01, 8.549e-01, 9.114e-01, 8.751e-01, 7.984e-01,0.8423, 2.514e+02, 2.224e+01, 2.502e+02, 2.369e+02, 2.176e+02, 1.361e+02, 1.723e+01, 5.500e+00, 9.611e-01, 9.135e+01, 1.440e+01, 6.847e+00, 1.139e+02, 7.525e+02, 6.809e+01, 7.494e+02, 7.134e+02, 6.548e+02, 3.854e+02, 4.953e+01, 1.626e+01, 2.661e+00, 2.982e+02, 4.242e+01, 1.710e+01, 3.233e+02, 1.940e+02, 1.729e+01, 1.932e+02, 1.846e+02, 1.703e+02, 9.844e+01, 1.192e+01, 3.980e+00, 6.250e-01, 7.890e+01, 1.040e+01, 4.069e+00, 8.335e+01, , , 9.954e-01, 9.424e-01, 8.657e-01, 5.415e-01, 6.855e-02, 2.188e-02, 3.824e-03, 3.634e-01, 5.730e-02, 2.724e-02, 4.531e-01,1723000.0,626300.0,511400.0, 1.675e+06, 5.618e+05, 4.282e+05
2025-03-11 16:00:00, 11/03/2025 16:59:59.999999, 1.577e+01, 1.310e+01, 1.311e+01, 1.305e+01, 1.347e+01, 1.525e+01, 1.079e+01, 1.126e+01, 1.062e+01, 1.060e+01, 1.079e+01, 1.714e+01, 1.575e+01,0.8445,0.8592,0.8592,0.8612,0.8588,0.8323, 8.584e-01, 8.618e-01, 8.451e-01, 8.985e-01, 8.673e-01, 7.919e-01,0.8302, 2.429e+02, 2.213e+01, 2.417e+02, 2.286e+02, 2.100e+02, 1.301e+02, 1.696e+01, 5.376e+00, 9.540e-01, 8.926e+01, 1.386e+01, 6.809e+00, 1.085e+02, 7.051e+02, 6.544e+01, 7.018e+02, 6.673e+02, 6.116e+02, 3.571e+02, 4.775e+01, 1.527e+01, 2.588e+00, 2.817e+02, 3.987e+01, 1.664e+01, 2.980e+02, 1.778e+02, 1.617e+01, 1.771e+02, 1.689e+02, 1.555e+02, 8.932e+01, 1.137e+01, 3.650e+00, 5.998e-01, 7.273e+01, 9.576e+00, 3.882e+00, 7.526e+01, , , 9.953e-01, 9.412e-01, 8.644e-01, 5.358e-01, 6.983e-02, 2.213e-02, 3.928e-03, 3.675e-01, 5.708e-02, 2.803e-02, 4.468e-01,1720000.0,624600.0,510700.0, 1.675e+06, 5.601e+05, 4.177e+05
2025-03-11 17:00:00, 11/03/2025 17:59:59.999999, 1.600e+01, 1.327e+01, 1.328e+01, 1.321e+01, 1.368e+01, 1.556e+01, 1.069e+01, 1.118e+01, 1.041e+01, 1.065e+01, 1.061e+01, 1.750e+01, 1.611e+01,0.8304,0.8441,0.8442,0.846,0.8435,0.8164, 8.466e-01, 8.506e-01, 8.515e-01, 8.834e-01, 8.515e-01, 7.756e-01,0.8142, 2.203e+02, 2.185e+01, 2.193e+02, 2.073e+02, 1.906e+02, 1.173e+02, 1.554e+01, 4.962e+00, 8.176e-01, 8.146e+01, 1.228e+01, 6.167e+00, 9.802e+01, 6.137e+02, 6.187e+01, 6.110e+02, 5.806e+02, 5.326e+02, 3.075e+02, 4.232e+01, 1.379e+01, 2.266e+00, 2.473e+02, 3.381e+01, 1.426e+01, 2.572e+02, 1.511e+02, 1.487e+01, 1.505e+02, 1.435e+02, 1.323e+02, 7.490e+01, 9.867e+00, 3.312e+00, 5.493e-01, 6.246e+01, 7.869e+00, 3.164e+00, 6.332e+01, , , 9.951e-01, 9.409e-01, 8.651e-01, 5.323e-01, 7.054e-02, 2.252e-02, 3.711e-03, 3.697e-01, 5.575e-02, 2.799e-02, 4.449e-01,1719000.0,628200.0,514000.0, 1.678e+06, 5.593e+05, 4.192e+05
2025-03-11 18:00:00, 11/03/2025 18:59:59.999999, 1.619e+01, 1.335e+01, 1.337e+01, 1.331e+01, 1.378e+01, 1.575e+01, 1.066e+01, 1.125e+01, 1.023e+01, 1.067e+01, 1.071e+01, 1.753e+01, 1.634e+01,0.8209,0.8371,0.8376,0.8392,0.8378,0.8084, 8.354e-01, 8.509e-01, 8.345e-01, 8.789e-01, 8.375e-01, 7.716e-01,0.8068, 2.100e+02, 2.175e+01, 1.123e+02, 1.060e+02, 9.754e+01, 5.986e+01, 7.948e+00, 2.672e+00, 4.181e-01, 4.182e+01, 6.398e+00, 3.186e+00, 4.986e+01, 5.672e+02, 6.008e+01, 3.037e+02, 2.881e+02, 2.653e+02, 1.517e+02, 2.070e+01, 7.340e+00, 1.083e+00, 1.240e+02, 1.670e+01, 7.273e+00, 1.267e+02, 1.366e+02, 1.412e+01, 7.316e+01, 6.955e+01, 6.455e+01, 3.611e+01, 4.650e+00, 1.733e+00, 2.450e-01, 3.067e+01, 3.723e+00, 1.634e+00, 3.051e+01, , , 5.349e-01, 5.050e-01, 4.646e-01, 2.851e-01, 3.785e-02, 1.272e-02, 1.991e-03, 1.992e-01, 3.047e-02, 1.517e-02, 2.375e-01,1715000.0,627800.0,513600.0, 1.667e+06, 5.577e+05, 4.216e+05
