Dp_Lower_Limit_um,Dp_Upper_Limit_um,AvgConc_cm3_All,AvgConc_cm3_Excited,AvgConc_cm3_Fluorescent,AvgConc_cm3_FL1,AvgConc_cm3_FL2,AvgConc_cm3_FL3,AvgConc_cm3_A,AvgConc_cm3_B,AvgConc_cm3_C,AvgConc_cm3_AB,AvgConc_cm3_AC,AvgConc_cm3_BC,AvgConc_cm3_ABC,AvgPeak_FL1,AvgPeak_FL2,AvgPeak_FL3,AvgPeak_A,AvgPeak_B,AvgPeak_C
0.5,0.7,1491.03,140.827,222.754828,218.484828,59.954,42.338,156.257828,1.518,0.4731,22.639,6.0663,2.2795,33.524,60987000,3284100,2893700,60964000,1823600,1484500
0.7,0.9,649.67,70.06,93.317211,92.077211,20.1805,11.6498,71.397211,0.58844,0.11085,9.68795,1.63601,0.549766,9.35045,58348000,3447800,3104900,58307000,1957300,1689500
0.9,1.1,235.98,24.76,35.314736,34.857736,7.71731,4.38787,26.964636,0.217848,0.041169,3.7435,0.59075,0.197468,3.558694,58711000,3453600,3275400,58653000,1978500,1812500
1.1,1.3,133.515,13.7043,20.72642,20.45842,4.72917,2.68415,15.61492,0.127474,0.023361,2.29883,0.35804,0.1168093,2.185958,59095000,3406600,3309600,59014000,1988200,1964700
1.3,1.5,86.301,8.6874,13.839793,13.656793,3.27298,1.84483,10.313993,0.086529,0.017356,1.59452,0.235964,0.0795785,1.512504,58906000,3376800,3393000,58813000,2052200,1874100
1.5,1.7,55.126,5.4723,9.060349,8.940349,2.216,1.251276,6.678649,0.055131,0.0096099,1.07463,0.155764,0.054862,1.031031,58950000,3313900,3395600,58829000,1895900,1804800
1.7,1.9,36.92,3.624,6.184695,6.100695,1.58973,0.896791,4.484195,0.039723,0.00629291,0.7645,0.105415,0.0380315,0.747079,59610000,3278300,4151000,59473000,1881600,56451400
1.9,2.1,26.2783,2.5515,4.472792,4.412092,1.19868,0.677271,3.185752,0.0278708,0.0057311,0.58149,0.082268,0.0270517,0.5622195,62113000,3309100,3923100,61953000,2008900,1654900
2.1,2.3,18.9332,1.81823,3.303133,3.258633,0.93224,0.518179,2.310833,0.0214069,0.0033402,0.45272,0.056721,0.0195483,0.4385498,63466000,3289500,3515500,63310000,2022900,1767200
2.3,2.5,14.0087,1.31887,2.51876,2.48206,0.73535,0.40341,1.73833,0.0179374,0.0020095,0.35918,0.043206,0.01682544,0.3413867,63225000,3385300,3945900,63009000,1780900,1830400
2.5,2.7,9.8153,0.9116,1.815578,1.790478,0.55035,0.305953,1.231578,0.0122445,0.0016845,0.265852,0.031995,0.01120763,0.2610404,66537000,3315300,3552600,66306000,1993800,1808900
2.7,2.9,6.2043,0.56361,1.1827376,1.1652376,0.371193,0.2020391,0.7896876,0.0079812,0.00151606,0.183125,0.0204214,0.00800003,0.1720535,67912000,3388600,4163500,67621000,2491000,1406100
2.9,3.1,3.76293,0.334471,0.7370577,0.7277577,0.236887,0.1307736,0.4864677,0.0046453,0.0006257,0.115136,0.0130367,0.003996,0.1131829,71666000,3401300,6399400,71367000,1772300,1958600
3.1,3.3,2.24768,0.196043,0.4476355,0.4408355,0.150826,0.0800476,0.2889535,0.00286629,0.00055457,0.075787,0.0073366,0.003372,0.0687842,76923000,3790200,6242200,76566000,1697200,2815400
3.3,3.5,1.34184,0.113513,0.2764546,0.2726446,0.092401,0.0492771,0.1786906,0.0016089,0.00051911,0.04688,0.0048415,0.00168,0.0422354,74366000,3867100,9069800,73861000,2679000,1309200
3.5,3.7,0.82897,0.067388,0.1774796,0.1754296,0.059679,0.0315678,0.1150126,0.00097319,0,0.029932,0.00278529,0.001066,0.0277135,84487000,3669500,4831100,83743000,1852400,0
3.7,3.9,0.52951,0.040686,0.1134738,0.1120638,0.038311,0.0175019,0.0742308,0.00060061,7.95E-05,0.021151,0.00086251,0.0007295,0.01583153,73086000,4583400,7001900,72489000,1777200,1873700
